xx,xxx,xx,0,xx
257,COPLE HIDRA. C-40 1/2         ,PZ,2.00,13058
258,COPLE HIDRA C40 3/4,PZ,4.00,13059
259,COPLE HIDRA. C-40 1          ,PZ,6.99,13060
260,COPLE DE COMPRESION CPVC 3/4      ,PZ,39.00,13061
261,TUBO CPVC 3/4  ,MT,27.00,14001
262,TUBO CPVC 3/4 x 6M,PZ,198.00,14002
263,TUBO CPVC 1/2  ,MT,17.01,14003
264,TUBO CPVC 1/2 x 6M,PZ,93.00,14004
265,ADAPTADOR CPVC R/EXT. 3/4        ,PZ,6.00,14005
266,ADAPTADOR CPVC R/EXT. 1/2       ,PZ,4.00,14006
267,ADAPTADOR CPVC R/INT. 3/4        ,PZ,9.00,14007
268,ADAPTADOR CPVC R/INT. 1/2       ,PZ,6.00,14008
269,ADAPTADOR CPVC C/INSERTO R/EXT. 3/4  ,PZ,55.00,14009
270,ADAPTADOR CPVC C/INSERTO R/EXT. 1/2  ,PZ,37.00,14010
271,CODO CPVC 3/4 x 90,PZ,6.00,14011
272,CODO CPVC 1/2 x 90,PZ,3.00,14012
273,CODO CPVC 3/4 x 45,PZ,5.00,14013
274,CODO CPVC 1/2 x 45,PZ,3.50,14014
275,COPLE CPVC 3/4  ,PZ,4.00,14015
276,COPLE CPVC 1/2  ,PZ,2.49,14016
277,CODO OREJA CPVC 1/2          ,PZ,9.00,14017
278,TAPÓN CPVC 3/4  ,PZ,3.50,14018
279,TAPÓN CPVC 1/2  ,PZ,2.00,14019
280,TEE CPVC 3/4   ,PZ,6.99,14020
281,TEE CPVC 1/2   ,PZ,5.00,14021
282,TUERCA UNION CPVC 3/4          ,PZ,38.00,14022
283,TUERCA UNIÓN CPVC 1/2         ,PZ,15.00,14023
284,REDCC. CAMPANA CPVC 3/4 - 1/2     ,PZ,3.00,14024
285,REDCC. CAMPANA CPVC 1 - 1/2      ,PZ,10.00,14025
286,REDCC. CAMPANA CPVC 1 - 3/4      ,PZ,10.00,14026
287,VALVULA DE PASO CPVC 1/2        ,PZ,33.00,14027
288,CODO CPVC 1 X 90 ,PZ,13.00,14028
289,CODO CPVC 1 X 45 ,PZ,9.00,14029
290,VALVULA CPVC 3/4 ,PZ,0.00,14030
291,TUBO CPVC 1 1/2 X 6 M         ,PZ,0.00,14031
292,CODO CPVC 1 1/2 X 90          ,MT,43.00,14032
293,ADAPTADOR CPVC 1 1/2 R/EXT       ,PZ,0.00,14033
294,COPLE CPVC 1 1/2 ,PZ,0.00,14034
295,VALVULA ESFERA C/ROSCA 1 1/2      ,PZ,0.00,14035
296,ADAPTADOR CPVC R/INTE 1        ,PZ,11.00,14036
297,VALVULA DE PASO CPVC 1         ,PZ,71.00,14037
298,TUBO CPVC 1 1/2 mts          ,MT,113.49,14038
299,TEE CPVC 1 1/2  ,PZ,73.00,14040
300,TUBO CPVC 1 Tramo 6 mts        ,PZ,240.00,14041
301,TUBO CPVC 1   ,MT,42.00,14042
302,REDUCCION BUSHING CPVC 1 1/2 A 1/2  ,PZ,15.00,14044
303,REDUCCION BUSHING CPVC 1 A 1/2     ,PZ,6.99,14045
304,REDUCCION BUSHING CPVC 1 - 3/4    ,PZ,9.00,14046
305,ADAPTADOR ESPIGA BONCE 1/2 M      ,PZ,29.00,14048
306,TUBO HIDRA. C-40 1/2         ,PZ,29.00,14050
307,ADAPTADOR HIDRA C40 1/2         ,PZ,3.00,14051
308,TEE HIDRA. C-40 1/2          ,PZ,5.00,14052
309,ADAPTADOR CPVC R/EXT 1         ,PZ,9.00,14053
310,TUBO HIDRA C40 3/4,PZ,33.00,14054
311,CODO PVC HIDRA. C-40 45 x 3/4     ,PZ,0.00,14055
312,CODO PVC HIDRA. C40 90 x 3/4 in     ,PZ,7.51,14056
313,CODO PVC HIDRA. C-40 45 x 1       ,PZ,13.00,14057
314,CODO PVC HIDRA C-40 90 X 1       ,PZ,11.99,14058
315,TUBO HIDRA. C-40 X 1          ,MT,42.00,14060
316,ADAPTADOR HIDRA C-40 1         ,PZ,11.00,14061
317,ADAPTADOR HIDRA. C-40 1 1/4      ,PZ,0.00,14062
318,ADAPTADOR HIDR C40 3/4 in        ,PZ,5.00,14063
319,REDUCCION BUSHING HIDR. C-40 1 - 3/4  ,PZ,6.99,14064
320,REDUCCION BUSHING HIDR. C-40 1 - 1/2  ,PZ,0.00,14065
321,REDUCCION BUSHING HIDR. C40 3/4 A 1/2 in,PZ,4.00,14066
322,TAPÓN PVC HIDRA. C-40 3/4       ,PZ,3.50,14067
323,TAPÓN PVC HIDRA. C-40 1/2       ,PZ,0.00,14068
324,CODO PVC HIDRA. C-40 90 X 1/2      ,PZ,4.00,14071
325,TEE HIDRA. C40 3/4 in          ,PZ,8.00,14075
326,TUBO COBRE RIG. T.L. 1/2        ,MT,185.99,15001
327,TUBO COBRE RIG. T.L. 1/2 x 6m     ,PZ,718.01,15002
328,TUBO COBRE FLEXIBLE 1/2        ,MT,83.00,15003
329,TUBO COBRE FLEXIBLE 3/8        ,MT,105.00,15004
330,TUBO COBRE FLEXIBLE 5/16        ,MT,49.00,15005
331,TUBO COBRE FLEXIBLE 1/4        ,MT,49.00,15006
332,TUBO COBRE FLEXIBLE 3/16        ,MT,69.00,15007
333,CONTRATUERCA 1/4 ,PZ,0.00,15008
334,CONECTOR 3/8F - 1/2S         ,PZ,17.01,15009
335,CONECTOR 3/8NP - 1/2S         ,PZ,16.99,15010
336,CODO GAS CAMPANA 3/8F - 3/8NP     ,PZ,22.01,15011
337,CODO GAS CAMPANA 3/8F - 1/2NP     ,PZ,30.00,15012
338,CODO GAS CAMPANA 1/2F - 1/2NP     ,PZ,32.00,15013
339,CODO TERMINAL 3/8F - 3/8 NP      ,PZ,18.00,15014
340,CODO TERMINAL 3/8F - 1/2 NP      ,PZ,25.01,15015
341,CODO UNIÓN 3/8F - 3/8F        ,PZ,18.00,15016
342,MANGUERA P/GAS 3/8x 60cm        ,PZ,66.00,15017
343,MANGUERA P/GAS 3/8 x 1m         ,PZ,113.00,15018
344,MANGUERA P/GAS 3/8x 1.5m        ,PZ,122.99,15019
345,MANGUERA P/GAS 3/8x 2m         ,PZ,138.01,15020
346,MANGUERA P/GAS 3/8x 3m         ,PZ,220.01,15021
347,MANGUERA P/GAS 3/8x 4m         ,PZ,182.00,15022
348,MANGUERA P/GAS 3/8x 5m         ,PZ,205.01,15023
349,MANGUERA P/GAS 3/8x 8m         ,PZ,0.00,15024
350,MANGUERA TRAMADA 3/8 AMARILLA     ,MT,10.50,15025
351,NIPLE CAMPANA 3/8 - 3/8        ,PZ,10.00,15026
352,NIPLE CAMPANA 3/8 - 1/2        ,PZ,21.00,15027
353,NIPLE TERMINAL 5/16 - 3/8       ,PZ,12.01,15028
354,NIPLE TERMINAL 3/8 - 1/4       ,PZ,8.00,15029
355,NIPLE TERMINAL 3/8 - 1/2       ,PZ,18.00,15030
356,NIPLE TERMINAL 3/8 - 3/8       ,PZ,11.99,15031
357,NIPLE UNIÓN 3/8F - 3/8F        ,PZ,16.00,15032
358,NIPLE UNIÓN 1/2F -1/2F        ,PZ,18.99,15033
359,NIPLE UNIÓN 1/2F -3/8F        ,PZ,16.99,15034
360,NIPLE ESPIGA-CAMPANA 3/8-1/2     ,PZ,11.99,15035
361,NIPLE ESPIGA-TERMINAL 3/8-3/8     ,PZ,7.99,15036
362,PTA. POOL CTA. C/ESPIGA         ,PZ,18.00,15037
363,PTA. POOL LGA. C/ESPIGA         ,PZ,32.00,15038
364,PTA. POOL CTA. C/ROSCA         ,PZ,18.00,15039
365,PTA. POOL LGA. C/ROSCA         ,PZ,36.31,15040
366,PIGTAIL COBRE C/TCA. IZQ.        ,PZ,42.00,15041
367,REGULADOR GAS 2VÍAS /CHI.        ,PZ,121.50,15042
368,REGULADOR GAS 2VÍAS /GDE.        ,PZ,252.00,15043
369,REGULADOR GAS 1VÍA,PZ,121.00,15044
370,REGULADOR GAS 1VÍA S/ACC.        ,PZ,0.00,15045
371,TAPÓN FLARE INT. 3/8          ,PZ,10.00,15046
372,TAPÓN FLARE EXT. 3/8          ,PZ,10.00,15047
373,TCA. CONICA FLARE L 5/16        ,PZ,4.00,15048
374,TCA. CONICA FLARE L 3/8        ,PZ,11.00,15049
375,TCA. CONICA FLARE C 3/8        ,PZ,8.00,15050
376,TCA. CONICA FLARE 1/2         ,PZ,24.00,15051
377,TCA. CONICA 1/2 - 3/8         ,PZ,16.00,15052
378,TCA. CONICA ESPIGA 3/8         ,PZ,14.00,15053
379,TCA. IZQUIERDA P/GAS          ,PZ,13.00,15054
380,TEE UNION 1/2Fx1/2Fx1/2F       ,PZ,32.00,15055
381,TEE UNIÓN 3/8Fx3/8Fx3/8F       ,PZ,22.01,15056
382,TERMOCOPLE    ,PZ,28.00,15057
383,TERMOPAR COBRE SALTILLO P/BOILER    ,PZ,79.00,15058
384,TERMOPAR COBRE ALUMINIO         ,PZ,85.00,15059
385,VÁLVULA BARRIL 3/8F x 1/2B      ,PZ,54.00,15060
386,VÁLVULA DE AUJA 3/8F x 3/8F      ,PZ,33.00,15061
387,VÁLVULA DE AUJA 3/8F x 1/4NP     ,PZ,33.00,15062
388,VÁLVULA DE AUJA 1/4NP x 1/4NP     ,PZ,53.00,15063
389,VÁLVULA DE AUJA 1/4NP x 3/8E     ,PZ,33.00,15064
390,VÁLVULA DE PASO 3/8F x 3/8F NACOBRE  ,PZ,84.00,15065
391,VÁLVULA DE PASO 3/8 F x 1/2 NPT.    ,PZ,98.00,15066
392,F/DISPONIBLE   ,PZ,0.00,15067
393,MANGUERA P/GAS 3/8 X 1 M NACO      ,PZ,85.99,15068
394,MANGUERA P/GAS 3/8 X 1.5 M INOX     ,PZ,0.00,15069
395,TERMOPAR COBRE ALUMINIO FLAUTA     ,PZ,127.99,15070
396,CONTRA TCA. PLASTICO 1/2        ,PZ,10.00,15072
397,CONTRATUERCA P/TUB. GALV. 1/2     ,PZ,1.50,15073
398,COPLE ESPIGA EDOMEX 3/4         ,PZ,9.00,15074
399,MANGUERA P/GAS ARX 3 mts        ,PZ,147.00,15076
400,TUERCA IZQUIERDA C/VOLANTE       ,PZ,35.00,15077
401,PTA. POOL CTA C/O´RING         ,PZ,32.00,15078
402,TEE TERMILAR FLAIR 3/8         ,PZ,32.00,15080
403,BRAZO REG. GALV. 1/2 x 4        ,PZ,22.01,16001
